nome;valence;acousticness;danceability;energy;instrumentalness;liveness;speechiness;uri;image;url;album
Baile no Morro;0.782;0.457;0.714;0.404;0.0;0.0701;0.453;spotify:track:0i4UV3HjjvsUuV3BajEXoD;https://i.scdn.co/image/ab67616d0000b27352cf91ed2a3ed757c6faaa8a;https://open.spotify.com/track/0i4UV3HjjvsUuV3BajEXoD;Baile no Morro
Gostosinha é Ela;0.963;0.345;0.942;0.85;8.25e-05;0.382;0.0909;spotify:track:0XyPPyGes0omXppV5YE8gy;https://i.scdn.co/image/ab67616d0000b2733afeada4ae8d634a896d006f;https://open.spotify.com/track/0XyPPyGes0omXppV5YE8gy;Gostosinha é Ela
Tem Cabaré Essa Noite;0.809;0.591;0.839;0.771;0.0;0.0582;0.114;spotify:track:25rz3D4oroFC0GXm3xFXnG;https://i.scdn.co/image/ab67616d0000b273312df6b2b90635e550ba755b;https://open.spotify.com/track/25rz3D4oroFC0GXm3xFXnG;Tem Cabaré Essa Noite
Mal Feito - Ao Vivo;0.684;0.554;0.732;0.831;0.0;0.903;0.0691;spotify:track:5719MEdRQcH4c3phXqX7WN;https://i.scdn.co/image/ab67616d0000b273054b558d57a72b90f3fb6daf;https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN;Mal Feito (Ao Vivo)
Te Amo Demais;0.687;0.573;0.713;0.625;0.0;0.11;0.0268;spotify:track:4xxeEWGQNFQ6qehlnev5LS;https://i.scdn.co/image/ab67616d0000b27333aa5241a4a528c0d1265e66;https://open.spotify.com/track/4xxeEWGQNFQ6qehlnev5LS;Decretos Reais, Vol.1
Basiquinho - Ao Vivo;0.737;0.353;0.504;0.827;0.0;0.101;0.115;spotify:track:2HMbGPbGiqGaHXzFkQAmZI;https://i.scdn.co/image/ab67616d0000b273e3c23ffccdf5192ab4b6a71e;https://open.spotify.com/track/2HMbGPbGiqGaHXzFkQAmZI;Basiquinho (Ao Vivo)
Vagabundo Chora - Ao Vivo;0.89;0.41;0.561;0.889;0.0;0.624;0.166;spotify:track:2ebFBmle5uXcdbrCAOvPcZ;https://i.scdn.co/image/ab67616d0000b273e6df69a2b0a58d6d4b20132a;https://open.spotify.com/track/2ebFBmle5uXcdbrCAOvPcZ;Vagabundo Chora (Ao Vivo)
NÉ SEGREDO;0.508;0.619;0.654;0.71;0.0;0.218;0.111;spotify:track:4pjznsLeoyimnxGlVpmyJI;https://i.scdn.co/image/ab67616d0000b273a5d231f6ff09cca97cacd6bd;https://open.spotify.com/track/4pjznsLeoyimnxGlVpmyJI;NÉ SEGREDO
Bagulho Louco;0.643;0.814;0.531;0.464;1.57e-06;0.133;0.346;spotify:track:04vzhKfl5HtPEgrdZJCZ7L;https://i.scdn.co/image/ab67616d0000b273ae8fa766c97a4e213fe215d4;https://open.spotify.com/track/04vzhKfl5HtPEgrdZJCZ7L;Bagulho Louco
Perfeito Pra Ficar Sozinho - Ao Vivo;0.572;0.708;0.586;0.734;0.0;0.492;0.0474;spotify:track:4cxQWmXmmbFoWvV8qipQTe;https://i.scdn.co/image/ab67616d0000b27344e7d06ba8d2328a960a7013;https://open.spotify.com/track/4cxQWmXmmbFoWvV8qipQTe;Perfeito Pra Ficar Sozinho (Ao Vivo)
Insônia - Ao vivo;0.632;0.76;0.601;0.667;0.0;0.406;0.0696;spotify:track:3EM71GPnUGJ75uDhkH77pq;https://i.scdn.co/image/ab67616d0000b27318259ab04146aebeee14604a;https://open.spotify.com/track/3EM71GPnUGJ75uDhkH77pq;Numanice #2 (Ao Vivo)
Tu Tava Na Revoada - Ao Vivo;0.969;0.18;0.729;0.956;0.00105;0.349;0.0375;spotify:track:5etfNcFAD9M8uibXpYMxfQ;https://i.scdn.co/image/ab67616d0000b273dea2695f8a1c5e457602af5e;https://open.spotify.com/track/5etfNcFAD9M8uibXpYMxfQ;Tu Tava Na Revoada (Ao Vivo)
Áudio Que Te Entrega;0.952;0.221;0.79;0.871;0.0;0.0981;0.0441;spotify:track:5dFxhpYLOton7aawKsDeiS;https://i.scdn.co/image/ab67616d0000b273e0ef54ebed5fce9305bb4894;https://open.spotify.com/track/5dFxhpYLOton7aawKsDeiS;Áudio Que Te Entrega
202;0.788;0.7;0.76;0.305;0.0;0.184;0.303;spotify:track:3imzmQM2DPPVBLMiBBexRL;https://i.scdn.co/image/ab67616d0000b2730d96a416ae4da28dcff1254b;https://open.spotify.com/track/3imzmQM2DPPVBLMiBBexRL;202
AMEIANOITE;0.452;0.0338;0.791;0.712;0.0;0.203;0.105;spotify:track:6RaolvdZThLHWf0ROWRvW8;https://i.scdn.co/image/ab67616d0000b2735b0a61db8bbf81f191a29617;https://open.spotify.com/track/6RaolvdZThLHWf0ROWRvW8;AMEIANOITE
X1;0.546;0.457;0.579;0.804;0.0;0.136;0.0581;spotify:track:0dcHD9QhnWRA41zoLnC83X;https://i.scdn.co/image/ab67616d0000b2734f90d64d24d84a45e823c76e;https://open.spotify.com/track/0dcHD9QhnWRA41zoLnC83X;LITTLE HAIR
Nem Namorado e Nem Ficante - Ao Vivo;0.682;0.0568;0.627;0.949;0.0;0.645;0.0531;spotify:track:5djAifHOVqTUDP61DCx8ti;https://i.scdn.co/image/ab67616d0000b2731a8ca8ce08d8b8a683b83633;https://open.spotify.com/track/5djAifHOVqTUDP61DCx8ti;Nem Namorado e Nem Ficante (Ao Vivo)
Gatilho - Ao Vivo;0.641;0.0302;0.48;0.93;0.0;0.689;0.143;spotify:track:42nZBOwXNdO24Ml032bLBS;https://i.scdn.co/image/ab67616d0000b273a145f0bbbb0ee0e29dfb4b4a;https://open.spotify.com/track/42nZBOwXNdO24Ml032bLBS;Se Melhorar Estraga (Ao Vivo)
Vampiro;0.627;0.0136;0.782;0.643;0.0;0.0654;0.0438;spotify:track:6bTdZ7xfKp3NqqADJ8HLyj;https://i.scdn.co/image/ab67616d0000b273b0cd9991ea7465bac51e9a94;https://open.spotify.com/track/6bTdZ7xfKp3NqqADJ8HLyj;Vampiro
